City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,codrington,-38.2667,141.9667,18.9,54,85,4.45,AU,1705632701
123,piti village,13.4626,144.6933,28.5,65,100,7.72,GU,1705632702
124,hailey,43.5196,-114.3153,0.92,86,100,0.0,US,1705632703
125,ipora,-16.4419,-51.1178,22.48,76,35,1.19,BR,1705632704
126,newman,37.3138,-121.0208,12.38,91,100,1.46,US,1705632704
127,san clemente del tuyu,-36.3569,-56.7235,22.21,89,83,2.15,AR,1705632705
128,nuku'alofa,-21.1333,-175.2,26.19,100,100,3.6,TO,1705632705
129,kholmsk,47.0511,142.0569,-10.11,66,7,2.4,RU,1705632706
130,burang,30.25,81.1667,-9.0,43,0,1.07,CN,1705632707
131,shabqadar,34.2139,71.5552,7.12,37,17,0.68,PK,1705632708
132,laascaanood,8.4774,47.3597,18.97,48,0,4.88,SO,1705632708
133,dompu,-8.5356,118.4622,32.19,61,100,0.79,ID,1705632709
134,bastia umbra,43.0679,12.5456,12.96,93,40,4.47,IT,1705632710
135,varde,55.6211,8.4807,-0.04,97,75,7.72,DK,1705632711
136,banda aceh,5.5577,95.3222,28.58,71,87,6.24,ID,1705632499
137,bubaque,11.2833,-15.8333,26.01,71,0,7.18,GW,1705632712
138,nanjangud,12.1197,76.6828,20.58,74,5,2.03,IN,1705632713
139,xocali,39.913,46.7903,3.67,91,75,0.25,AZ,1705632713
140,yellowknife,62.456,-114.3525,-15.71,85,100,3.09,CA,1705632714
141,punta arenas,-53.15,-70.9167,9.06,66,40,8.23,CL,1705632715
142,kodiak,57.79,-152.4072,2.73,56,40,7.72,US,1705632716
143,liaoyang,41.2719,123.1731,-7.82,63,42,5.23,CN,1705632716
144,pula,44.8683,13.8481,10.31,100,40,2.57,HR,1705632717
145,freetown,8.484,-13.2299,25.43,83,12,1.6,SL,1705632718
146,sainyabuli,19.25,101.75,25.24,48,66,0.87,LA,1705632718
147,black mountain,35.6179,-82.3212,3.77,46,75,1.34,US,1705632719
148,qaqortoq,60.7167,-46.0333,-1.78,61,100,5.98,GL,1705632720
149,canyon,34.9803,-101.9188,1.47,72,30,8.49,US,1705632720
150,huarmey,-10.0681,-78.1522,22.64,88,99,3.75,PE,1705632721
151,constantia,44.1833,28.65,6.5,88,89,4.45,RO,1705632722
152,lastoursville,-0.8143,12.7287,23.19,79,34,0.8,GA,1705632722
153,west island,-12.1568,96.8225,26.99,89,75,3.6,CC,1705632723
154,chifeng,42.2683,118.9636,-8.49,27,100,3.18,CN,1705632724
155,ar rutbah,33.0381,40.2848,9.61,58,100,2.66,IQ,1705632453
156,namibe,-15.1961,12.1522,22.13,77,8,1.32,AO,1705632725
157,kangavar,34.5043,47.9653,2.36,53,0,0.55,IR,1705632726
158,fale old settlement,-9.3852,-171.2468,29.67,67,97,6.01,TK,1705632726
159,novyy urengoy,66.0833,76.6333,-13.55,93,100,6.46,RU,1705632727
160,port elizabeth,-33.918,25.5701,19.06,80,0,4.12,ZA,1705632555
161,tolanaro,-25.0319,46.9987,24.04,88,20,2.06,MG,1705632728
162,balabac,7.9868,117.0645,28.19,75,100,5.9,PH,1705632729
163,utrik,11.2278,169.8474,26.41,77,81,8.25,MH,1705632729
164,rivera,-30.9053,-55.5508,20.88,98,5,1.93,UY,1705632730
165,jabor,5.921,169.6434,27.61,81,100,6.2,MH,1705632731
166,akjoujt,19.6969,-14.4164,19.88,13,39,1.72,MR,1705632731
167,gadzhiyevo,69.2551,33.3362,-17.8,100,100,1.16,RU,1705632732
168,christchurch,-43.5333,172.6333,33.11,31,100,8.23,NZ,1705632527
169,nyala,12.05,24.8833,15.57,19,4,6.59,SD,1705632733
170,kineshma,57.4391,42.1289,-6.14,95,100,4.44,RU,1705632734
171,lodwar,3.1191,35.5973,26.66,48,100,1.89,KE,1705632735
172,liphook,51.0772,-0.8032,-2.77,86,3,3.09,GB,1705632735
173,talnakh,69.4865,88.3972,-18.22,89,100,6.55,RU,1705632736
174,ust-nera,64.5667,143.2,-41.27,95,53,0.23,RU,1705632737
175,rio brilhante,-21.8019,-54.5464,27.35,56,4,1.4,BR,1705632737
176,ad dabbah,18.05,30.95,13.7,29,0,4.27,SD,1705632738
177,aquin,18.2833,-73.4,24.48,84,0,1.41,HT,1705632739
178,old town,50.087,14.4202,-1.11,88,75,3.6,CZ,1705632740
179,san antonio de pale,-1.4014,5.6325,26.92,81,1,3.43,GQ,1705632741
180,avarua,-21.2078,-159.775,28.03,74,40,5.66,CK,1705632741
181,nakamura,32.9833,132.9333,15.62,75,100,1.78,JP,1705632742
182,midvagur,62.0511,-7.1939,-1.54,74,100,0.51,FO,1705632743
183,udachny,66.4167,112.4,-38.45,100,66,1.55,RU,1705632743
184,koronowo,53.3137,17.937,-3.59,93,6,3.78,PL,1705632744
